layers,units,dropout,f1_micro,f1_macro
2,128,0.2,0.9054982817869416,0.6517402936351223
2,128,0.3,0.9084687767322498,0.6661080087932642
2,128,0.4,0.905790838375108,0.6004883063354692
2,128,0.5,0.8962510897994769,0.5074048106503332
2,256,0.2,0.9047210300429185,0.6982109459324081
2,256,0.3,0.9050470487596236,0.6408672093520564
2,256,0.4,0.9169491525423729,0.7481455945162252
2,256,0.5,0.9098639455782312,0.658225970733837
2,512,0.2,0.9133047210300429,0.6830601131512111
2,512,0.3,0.9010416666666666,0.6019098150324035
2,512,0.4,0.9141886151231946,0.6670270321361519
2,512,0.5,0.9084687767322498,0.6014128819995757
2,1024,0.2,0.9095607235142119,0.654912872477132
2,1024,0.3,0.9142367066895368,0.6853072089452423
2,1024,0.4,0.9026701119724375,0.6433279437888753
2,1024,0.5,0.9209855564995751,0.764893033495624
3,128,0.2,0.9045996592844975,0.5620021926016153
3,128,0.3,0.8908145580589255,0.4819020215889946
3,128,0.4,0.8644818423383526,0.39989740035854954
3,128,0.5,0.8202247191011236,0.2566889410508352
3,256,0.2,0.9112627986348123,0.6560557724366105
3,256,0.3,0.9055319148936171,0.5604208851368794
3,256,0.4,0.9067796610169492,0.5854848811652208
3,256,0.5,0.9011177987962167,0.5019727641852938
3,512,0.2,0.9193277310924369,0.7239158576847049
3,512,0.3,0.9094017094017094,0.5544232412442707
3,512,0.4,0.9115417017691659,0.6477442227851266
3,512,0.5,0.9215189873417722,0.7377562249280544
3,1024,0.2,0.9072164948453608,0.6124601329743355
3,1024,0.3,0.9126712328767124,0.6246980568458123
3,1024,0.4,0.9052092228864219,0.5398504479912456
3,1024,0.5,0.9087866108786611,0.635306089810163
4,128,0.2,0.8696412948381452,0.44748678041481355
4,128,0.3,0.838475499092559,0.3260184066204989
4,128,0.4,0.6890756302521008,0.15780672176591926
4,128,0.5,0.40717029449423814,0.04150449173967684
4,256,0.2,0.9039451114922813,0.5812830929533755
4,256,0.3,0.8987234042553192,0.5229577735665321
4,256,0.4,0.8756476683937824,0.41388981777397804
4,256,0.5,0.8377635197066912,0.30749627784196165
4,512,0.2,0.90754877014419,0.5863018013484539
4,512,0.3,0.9203688181056161,0.7239430146744181
4,512,0.4,0.9101694915254237,0.5623237486250573
4,512,0.5,0.8972602739726028,0.5194776035879781
4,1024,0.2,0.9067796610169492,0.6145222774143363
4,1024,0.3,0.9057239057239057,0.5555086781474291
4,1024,0.4,0.9148580968280468,0.6509981932469486
4,1024,0.5,0.9146238377007607,0.6260565452166652
