author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"López López, Manuel Carlos",1,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Thomas, María del Carmen",1,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"González Rey, Elena",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Delgado Mora, Mario",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Pérez Victoria, José María",1,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Morales Sánchez, Juan Carlos",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Martín Ibáñez, Javier",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Hernández López de Munaín, Cristina",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Suñé, Carlos",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Castanys, Santiago",1,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Matesanz del Barrio, Fuencisla",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Alcina, Antonio",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"González Pacanowska, Dolores",1,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Ruiz Pérez, Luis Miguel",1,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Navarro Carretero, Miguel",1,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Estévez García, Antonio Manuel",1,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Acosta Herrera, Marialbert",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Vidal Romero, Antonio",1,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"López Giménez, Juan F.",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Oliver Pozo, Francisco Javier",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Gómez Díaz, Elena",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Zubiaur, Mercedes",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Sánchez Luque, Francisco José",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Sancho López, Jaime",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Berzal Herranz, Alfredo",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Gómez Castilla, Jordi",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Ortiz Fernández, Lourdes",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Márquez Ortiz, Ana María",0,2,2,0.47295180857285446,25.65587377573168,0.8172559161810684
"Sánchez Navarro, Macarena",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"López López, Manuel Carlos",1,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Thomas, María del Carmen",1,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"González Rey, Elena",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Delgado Mora, Mario",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Pérez Victoria, José María",1,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Morales Sánchez, Juan Carlos",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Martín Ibáñez, Javier",2,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Hernández López de Munaín, Cristina",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Suñé, Carlos",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Castanys, Santiago",1,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Matesanz del Barrio, Fuencisla",2,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Alcina, Antonio",2,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"González Pacanowska, Dolores",1,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Ruiz Pérez, Luis Miguel",1,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Navarro Carretero, Miguel",1,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Estévez García, Antonio Manuel",1,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Acosta Herrera, Marialbert",2,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Vidal Romero, Antonio",1,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"López Giménez, Juan F.",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Oliver Pozo, Francisco Javier",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Gómez Díaz, Elena",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Zubiaur, Mercedes",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Sánchez Luque, Francisco José",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Sancho López, Jaime",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Berzal Herranz, Alfredo",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Gómez Castilla, Jordi",0,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Ortiz Fernández, Lourdes",2,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Márquez Ortiz, Ana María",2,3,2,0.5796801591413975,48.12809427394081,0.5845642980776873
"Sánchez Navarro, Macarena",3,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"López López, Manuel Carlos",0,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Thomas, María del Carmen",0,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"González Rey, Elena",1,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Delgado Mora, Mario",1,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Pérez Victoria, José María",0,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Morales Sánchez, Juan Carlos",3,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Martín Ibáñez, Javier",2,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Hernández López de Munaín, Cristina",1,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Suñé, Carlos",1,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Castanys, Santiago",0,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Matesanz del Barrio, Fuencisla",2,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Alcina, Antonio",2,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"González Pacanowska, Dolores",0,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Ruiz Pérez, Luis Miguel",0,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Navarro Carretero, Miguel",0,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Estévez García, Antonio Manuel",0,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Acosta Herrera, Marialbert",2,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Vidal Romero, Antonio",0,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"López Giménez, Juan F.",3,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Oliver Pozo, Francisco Javier",3,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Gómez Díaz, Elena",3,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Zubiaur, Mercedes",1,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Sánchez Luque, Francisco José",3,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Sancho López, Jaime",1,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Berzal Herranz, Alfredo",3,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Gómez Castilla, Jordi",3,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Ortiz Fernández, Lourdes",2,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Márquez Ortiz, Ana María",2,4,2,0.5376249908073849,45.1949236427298,0.5423667390399739
"Sánchez Navarro, Macarena",3,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"López López, Manuel Carlos",4,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Thomas, María del Carmen",4,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"González Rey, Elena",1,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Delgado Mora, Mario",1,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Pérez Victoria, José María",0,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Morales Sánchez, Juan Carlos",3,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Martín Ibáñez, Javier",2,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Hernández López de Munaín, Cristina",1,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Suñé, Carlos",1,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Castanys, Santiago",0,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Matesanz del Barrio, Fuencisla",2,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Alcina, Antonio",2,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"González Pacanowska, Dolores",0,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Ruiz Pérez, Luis Miguel",0,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Navarro Carretero, Miguel",0,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Estévez García, Antonio Manuel",0,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Acosta Herrera, Marialbert",2,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Vidal Romero, Antonio",0,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"López Giménez, Juan F.",3,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Oliver Pozo, Francisco Javier",3,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Gómez Díaz, Elena",3,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Zubiaur, Mercedes",1,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Sánchez Luque, Francisco José",3,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Sancho López, Jaime",1,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Berzal Herranz, Alfredo",3,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Gómez Castilla, Jordi",3,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Ortiz Fernández, Lourdes",2,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Márquez Ortiz, Ana María",2,5,2,0.5669532375434052,49.772577132562304,0.5036245896315935
"Sánchez Navarro, Macarena",3,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"López López, Manuel Carlos",4,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Thomas, María del Carmen",4,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"González Rey, Elena",0,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Delgado Mora, Mario",0,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Pérez Victoria, José María",1,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Morales Sánchez, Juan Carlos",3,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Martín Ibáñez, Javier",2,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Hernández López de Munaín, Cristina",0,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Suñé, Carlos",0,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Castanys, Santiago",1,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Matesanz del Barrio, Fuencisla",2,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Alcina, Antonio",2,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"González Pacanowska, Dolores",5,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Ruiz Pérez, Luis Miguel",5,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
"Navarro Carretero, Miguel",1,6,2,0.6010168722914773,60.83470883503273,0.4814453264517074
