author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"López López, Manuel Carlos",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Thomas, María del Carmen",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"González Rey, Elena",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Delgado Mora, Mario",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Pérez Victoria, José María",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Morales Sánchez, Juan Carlos",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Martín Ibáñez, Javier",1,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Hernández López de Munaín, Cristina",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Suñé, Carlos",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Castanys, Santiago",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Matesanz del Barrio, Fuencisla",1,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Alcina, Antonio",1,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"González Pacanowska, Dolores",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Ruiz Pérez, Luis Miguel",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Navarro Carretero, Miguel",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Estévez García, Antonio Manuel",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Acosta Herrera, Marialbert",1,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Vidal Romero, Antonio",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"López Giménez, Juan F.",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Oliver Pozo, Francisco Javier",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Gómez Díaz, Elena",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Zubiaur, Mercedes",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Sánchez Luque, Francisco José",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Sancho López, Jaime",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Berzal Herranz, Alfredo",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Gómez Castilla, Jordi",0,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Ortiz Fernández, Lourdes",1,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Márquez Ortiz, Ana María",1,2,2,0.40044372209028645,14.230410671487927,0.7805356343410242
"Sánchez Navarro, Macarena",2,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"López López, Manuel Carlos",0,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Thomas, María del Carmen",0,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"González Rey, Elena",2,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Delgado Mora, Mario",2,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Pérez Victoria, José María",0,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Morales Sánchez, Juan Carlos",2,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Martín Ibáñez, Javier",1,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Hernández López de Munaín, Cristina",2,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Suñé, Carlos",2,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Castanys, Santiago",0,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Matesanz del Barrio, Fuencisla",1,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Alcina, Antonio",1,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"González Pacanowska, Dolores",0,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Ruiz Pérez, Luis Miguel",0,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Navarro Carretero, Miguel",0,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Estévez García, Antonio Manuel",0,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
"Acosta Herrera, Marialbert",1,3,2,0.5796641418443054,48.15108314651873,0.5844695556828876
