author,cluster,n_clusters,pca_dims,min_cluster_size,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",0,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"López López, Manuel Carlos",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Thomas, María del Carmen",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"González Rey, Elena",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Delgado Mora, Mario",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Pérez Victoria, José María",0,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Morales Sánchez, Juan Carlos",0,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Martín Ibáñez, Javier",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Hernández López de Munaín, Cristina",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Suñé, Carlos",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Castanys, Santiago",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Matesanz del Barrio, Fuencisla",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Alcina, Antonio",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"González Pacanowska, Dolores",1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Ruiz Pérez, Luis Miguel",1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Navarro Carretero, Miguel",1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Estévez García, Antonio Manuel",1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Acosta Herrera, Marialbert",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Vidal Romero, Antonio",1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"López Giménez, Juan F.",0,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Oliver Pozo, Francisco Javier",0,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Gómez Díaz, Elena",0,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Zubiaur, Mercedes",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Sánchez Luque, Francisco José",0,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Sancho López, Jaime",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Berzal Herranz, Alfredo",0,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Gómez Castilla, Jordi",0,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Ortiz Fernández, Lourdes",0,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Márquez Ortiz, Ana María",-1,2,5,4,0.24086557214115203,4.439622453508598,2.9924288478624064
"Sánchez Navarro, Macarena",1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"López López, Manuel Carlos",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Thomas, María del Carmen",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"González Rey, Elena",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Delgado Mora, Mario",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Pérez Victoria, José María",1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Morales Sánchez, Juan Carlos",1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Martín Ibáñez, Javier",2,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Hernández López de Munaín, Cristina",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Suñé, Carlos",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Castanys, Santiago",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Matesanz del Barrio, Fuencisla",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Alcina, Antonio",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"González Pacanowska, Dolores",0,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Ruiz Pérez, Luis Miguel",0,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Navarro Carretero, Miguel",0,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Estévez García, Antonio Manuel",0,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Acosta Herrera, Marialbert",2,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Vidal Romero, Antonio",0,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"López Giménez, Juan F.",1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Oliver Pozo, Francisco Javier",1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Gómez Díaz, Elena",1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Zubiaur, Mercedes",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Sánchez Luque, Francisco José",1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Sancho López, Jaime",-1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Berzal Herranz, Alfredo",1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Gómez Castilla, Jordi",1,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
