author,cluster,eps,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",0,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"López López, Manuel Carlos",1,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Thomas, María del Carmen",1,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"González Rey, Elena",2,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Delgado Mora, Mario",2,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Pérez Victoria, José María",0,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Morales Sánchez, Juan Carlos",0,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Martín Ibáñez, Javier",3,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Hernández López de Munaín, Cristina",4,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Suñé, Carlos",4,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Castanys, Santiago",0,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Matesanz del Barrio, Fuencisla",5,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Alcina, Antonio",5,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"González Pacanowska, Dolores",6,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Ruiz Pérez, Luis Miguel",6,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Navarro Carretero, Miguel",6,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Estévez García, Antonio Manuel",6,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Acosta Herrera, Marialbert",3,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Vidal Romero, Antonio",6,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"López Giménez, Juan F.",0,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Oliver Pozo, Francisco Javier",0,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Gómez Díaz, Elena",0,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Zubiaur, Mercedes",7,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Sánchez Luque, Francisco José",0,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Sancho López, Jaime",7,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Berzal Herranz, Alfredo",0,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Gómez Castilla, Jordi",0,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Ortiz Fernández, Lourdes",3,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Márquez Ortiz, Ana María",3,0.3,5,0.7047111121282721,55.25265124146852,0.353657319549908
"Sánchez Navarro, Macarena",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"López López, Manuel Carlos",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Thomas, María del Carmen",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"González Rey, Elena",1,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Delgado Mora, Mario",1,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Pérez Victoria, José María",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Morales Sánchez, Juan Carlos",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Martín Ibáñez, Javier",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Hernández López de Munaín, Cristina",2,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Suñé, Carlos",2,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Castanys, Santiago",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Matesanz del Barrio, Fuencisla",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Alcina, Antonio",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"González Pacanowska, Dolores",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Ruiz Pérez, Luis Miguel",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Navarro Carretero, Miguel",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Estévez García, Antonio Manuel",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Acosta Herrera, Marialbert",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Vidal Romero, Antonio",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"López Giménez, Juan F.",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Oliver Pozo, Francisco Javier",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Gómez Díaz, Elena",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Zubiaur, Mercedes",3,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Sánchez Luque, Francisco José",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Sancho López, Jaime",3,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Berzal Herranz, Alfredo",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Gómez Castilla, Jordi",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
