author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"López López, Manuel Carlos",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Thomas, María del Carmen",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"González Rey, Elena",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Martín Ibáñez, Javier",1,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Delgado Mora, Mario",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Pérez Victoria, José María",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Morales Sánchez, Juan Carlos",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Hernández López de Munaín, Cristina",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Suñé, Carlos",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Castanys, Santiago",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Matesanz del Barrio, Fuencisla",1,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Alcina, Antonio",1,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"González Pacanowska, Dolores",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Ruiz Pérez, Luis Miguel",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Navarro Carretero, Miguel",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Estévez García, Antonio Manuel",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Acosta Herrera, Marialbert",1,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Vidal Romero, Antonio",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"López Giménez, Juan F.",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Oliver Pozo, Francisco Javier",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Gómez Díaz, Elena",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Zubiaur, Mercedes",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Sánchez Luque, Francisco José",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Sancho López, Jaime",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Berzal Herranz, Alfredo",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Gómez Castilla, Jordi",0,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Ortiz Fernández, Lourdes",1,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Márquez Ortiz, Ana María",1,2,2,0.4401104383122895,15.858216075663533,0.6767043718388601
"Sánchez Navarro, Macarena",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"López López, Manuel Carlos",0,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Thomas, María del Carmen",0,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"González Rey, Elena",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Martín Ibáñez, Javier",1,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Delgado Mora, Mario",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Pérez Victoria, José María",0,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Morales Sánchez, Juan Carlos",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Hernández López de Munaín, Cristina",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Suñé, Carlos",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Castanys, Santiago",0,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Matesanz del Barrio, Fuencisla",1,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Alcina, Antonio",1,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"González Pacanowska, Dolores",0,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Ruiz Pérez, Luis Miguel",0,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Navarro Carretero, Miguel",0,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Estévez García, Antonio Manuel",0,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Acosta Herrera, Marialbert",1,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Vidal Romero, Antonio",0,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"López Giménez, Juan F.",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Oliver Pozo, Francisco Javier",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Gómez Díaz, Elena",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Zubiaur, Mercedes",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Sánchez Luque, Francisco José",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Sancho López, Jaime",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Berzal Herranz, Alfredo",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Gómez Castilla, Jordi",2,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Ortiz Fernández, Lourdes",1,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
"Márquez Ortiz, Ana María",1,3,2,0.6039634235667332,47.77940506686213,0.5722431919085275
