author,cluster,n_clusters,pca_dims,min_cluster_size,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"López López, Manuel Carlos",-1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Thomas, María del Carmen",-1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"González Rey, Elena",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Delgado Mora, Mario",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Pérez Victoria, José María",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Morales Sánchez, Juan Carlos",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Martín Ibáñez, Javier",1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Hernández López de Munaín, Cristina",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Suñé, Carlos",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Castanys, Santiago",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Matesanz del Barrio, Fuencisla",1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Alcina, Antonio",1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"González Pacanowska, Dolores",-1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Ruiz Pérez, Luis Miguel",-1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Navarro Carretero, Miguel",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Estévez García, Antonio Manuel",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Acosta Herrera, Marialbert",1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Vidal Romero, Antonio",-1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"López Giménez, Juan F.",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Oliver Pozo, Francisco Javier",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Gómez Díaz, Elena",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Zubiaur, Mercedes",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Sánchez Luque, Francisco José",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Sancho López, Jaime",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
