author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"López López, Manuel Carlos",1,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Thomas, María del Carmen",1,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"González Rey, Elena",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Delgado Mora, Mario",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Pérez Victoria, José María",1,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Morales Sánchez, Juan Carlos",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Martín Ibáñez, Javier",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Hernández López de Munaín, Cristina",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Suñé, Carlos",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Castanys, Santiago",1,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Matesanz del Barrio, Fuencisla",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Alcina, Antonio",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"González Pacanowska, Dolores",1,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Ruiz Pérez, Luis Miguel",1,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Navarro Carretero, Miguel",1,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Estévez García, Antonio Manuel",1,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Acosta Herrera, Marialbert",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Vidal Romero, Antonio",1,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"López Giménez, Juan F.",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Oliver Pozo, Francisco Javier",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Gómez Díaz, Elena",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Zubiaur, Mercedes",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Sánchez Luque, Francisco José",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Sancho López, Jaime",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Berzal Herranz, Alfredo",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Gómez Castilla, Jordi",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Ortiz Fernández, Lourdes",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Márquez Ortiz, Ana María",2,2,2,0.47285187794964995,25.66838911307838,0.8211533748167372
"Sánchez Navarro, Macarena",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"López López, Manuel Carlos",1,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Thomas, María del Carmen",1,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"González Rey, Elena",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Delgado Mora, Mario",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Pérez Victoria, José María",1,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Morales Sánchez, Juan Carlos",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Martín Ibáñez, Javier",2,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Hernández López de Munaín, Cristina",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Suñé, Carlos",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Castanys, Santiago",1,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Matesanz del Barrio, Fuencisla",2,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Alcina, Antonio",2,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"González Pacanowska, Dolores",1,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Ruiz Pérez, Luis Miguel",1,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Navarro Carretero, Miguel",1,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Estévez García, Antonio Manuel",1,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Acosta Herrera, Marialbert",2,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Vidal Romero, Antonio",1,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"López Giménez, Juan F.",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Oliver Pozo, Francisco Javier",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Gómez Díaz, Elena",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Zubiaur, Mercedes",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Sánchez Luque, Francisco José",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Sancho López, Jaime",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Berzal Herranz, Alfredo",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Gómez Castilla, Jordi",3,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Ortiz Fernández, Lourdes",2,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Márquez Ortiz, Ana María",2,3,2,0.5783130089025078,47.55808091922189,0.5873176895738943
"Sánchez Navarro, Macarena",3,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"López López, Manuel Carlos",1,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Thomas, María del Carmen",1,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"González Rey, Elena",4,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Delgado Mora, Mario",4,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Pérez Victoria, José María",1,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Morales Sánchez, Juan Carlos",3,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Martín Ibáñez, Javier",2,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Hernández López de Munaín, Cristina",4,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Suñé, Carlos",4,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Castanys, Santiago",1,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Matesanz del Barrio, Fuencisla",2,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Alcina, Antonio",2,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"González Pacanowska, Dolores",1,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Ruiz Pérez, Luis Miguel",1,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Navarro Carretero, Miguel",1,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Estévez García, Antonio Manuel",1,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Acosta Herrera, Marialbert",2,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Vidal Romero, Antonio",1,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"López Giménez, Juan F.",3,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Oliver Pozo, Francisco Javier",3,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Gómez Díaz, Elena",3,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Zubiaur, Mercedes",4,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Sánchez Luque, Francisco José",3,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Sancho López, Jaime",4,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Berzal Herranz, Alfredo",3,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Gómez Castilla, Jordi",3,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Ortiz Fernández, Lourdes",2,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Márquez Ortiz, Ana María",2,4,2,0.538862686008226,44.76027206655134,0.5388563263577383
"Sánchez Navarro, Macarena",4,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"López López, Manuel Carlos",1,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"Thomas, María del Carmen",1,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"González Rey, Elena",5,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"Delgado Mora, Mario",5,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"Pérez Victoria, José María",2,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"Morales Sánchez, Juan Carlos",4,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"Martín Ibáñez, Javier",3,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"Hernández López de Munaín, Cristina",5,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"Suñé, Carlos",5,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"Castanys, Santiago",2,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"Matesanz del Barrio, Fuencisla",3,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
"Alcina, Antonio",3,5,2,0.5728133659008722,50.87356561606167,0.49178588053048744
