author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"López López, Manuel Carlos",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Thomas, María del Carmen",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"González Rey, Elena",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Delgado Mora, Mario",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Pérez Victoria, José María",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Morales Sánchez, Juan Carlos",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Martín Ibáñez, Javier",1,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Hernández López de Munaín, Cristina",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Suñé, Carlos",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Castanys, Santiago",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Matesanz del Barrio, Fuencisla",1,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Alcina, Antonio",1,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"González Pacanowska, Dolores",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Ruiz Pérez, Luis Miguel",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Navarro Carretero, Miguel",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Estévez García, Antonio Manuel",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Acosta Herrera, Marialbert",1,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Vidal Romero, Antonio",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"López Giménez, Juan F.",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Oliver Pozo, Francisco Javier",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Gómez Díaz, Elena",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Zubiaur, Mercedes",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Sánchez Luque, Francisco José",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Sancho López, Jaime",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Berzal Herranz, Alfredo",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Gómez Castilla, Jordi",0,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Ortiz Fernández, Lourdes",1,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Márquez Ortiz, Ana María",1,2,2,0.4148881832667907,14.559847167590696,0.7118983414844152
"Sánchez Navarro, Macarena",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"López López, Manuel Carlos",0,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Thomas, María del Carmen",0,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"González Rey, Elena",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Delgado Mora, Mario",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Pérez Victoria, José María",0,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Morales Sánchez, Juan Carlos",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Martín Ibáñez, Javier",1,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Hernández López de Munaín, Cristina",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Suñé, Carlos",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
