author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin,modularity
"Sánchez Navarro, Macarena",1,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"López López, Manuel Carlos",0,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Thomas, María del Carmen",0,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"González Rey, Elena",1,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Delgado Mora, Mario",1,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Pérez Victoria, José María",0,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Morales Sánchez, Juan Carlos",1,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Martín Ibáñez, Javier",2,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Hernández López de Munaín, Cristina",3,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Suñé, Carlos",3,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Castanys, Santiago",0,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Matesanz del Barrio, Fuencisla",2,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Alcina, Antonio",2,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"González Pacanowska, Dolores",0,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Ruiz Pérez, Luis Miguel",0,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Navarro Carretero, Miguel",0,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Estévez García, Antonio Manuel",0,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Acosta Herrera, Marialbert",2,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Vidal Romero, Antonio",0,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"López Giménez, Juan F.",1,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Oliver Pozo, Francisco Javier",1,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Gómez Díaz, Elena",0,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Zubiaur, Mercedes",1,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Sánchez Luque, Francisco José",3,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Sancho López, Jaime",1,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Berzal Herranz, Alfredo",3,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Gómez Castilla, Jordi",3,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Ortiz Fernández, Lourdes",2,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
"Márquez Ortiz, Ana María",2,4,2,0.222752316454019,26.255936070577263,1.8711481310722509,0.3696897485863852
