author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"López López, Manuel Carlos",0,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Thomas, María del Carmen",0,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"González Rey, Elena",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Martín Ibáñez, Javier",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Delgado Mora, Mario",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Pérez Victoria, José María",0,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Morales Sánchez, Juan Carlos",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Hernández López de Munaín, Cristina",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Suñé, Carlos",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Castanys, Santiago",0,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Matesanz del Barrio, Fuencisla",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Alcina, Antonio",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"González Pacanowska, Dolores",0,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Ruiz Pérez, Luis Miguel",0,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Navarro Carretero, Miguel",0,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Estévez García, Antonio Manuel",0,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Acosta Herrera, Marialbert",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Vidal Romero, Antonio",0,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"López Giménez, Juan F.",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Oliver Pozo, Francisco Javier",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Gómez Díaz, Elena",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Zubiaur, Mercedes",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Sánchez Luque, Francisco José",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Sancho López, Jaime",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Berzal Herranz, Alfredo",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Gómez Castilla, Jordi",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Ortiz Fernández, Lourdes",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Márquez Ortiz, Ana María",1,2,2,0.45901415276587626,24.073207129691145,0.8293300874189792
"Sánchez Navarro, Macarena",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"López López, Manuel Carlos",0,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Thomas, María del Carmen",0,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"González Rey, Elena",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Martín Ibáñez, Javier",2,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Delgado Mora, Mario",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Pérez Victoria, José María",0,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
