author_name,leiden_community
"Castanys, Santiago",0
"Pérez Victoria, José María",0
"Navarro Carretero, Miguel",0
"González Pacanowska, Dolores",0
"Ruiz Pérez, Luis Miguel",0
"Estévez García, Antonio Manuel",0
"Vidal Romero, Antonio",0
"Gómez Díaz, Elena",0
"Acosta Herrera, Marialbert",1
"Martín Ibáñez, Javier",1
"Márquez Ortiz, Ana María",1
"Ortiz Fernández, Lourdes",1
"Matesanz del Barrio, Fuencisla",1
"Alcina, Antonio",1
"Sancho López, Jaime",1
"Zubiaur, Mercedes",1
"Berzal Herranz, Alfredo",2
"Sánchez Luque, Francisco José",2
"Gómez Castilla, Jordi",2
"Morales Sánchez, Juan Carlos",2
"Thomas, María del Carmen",2
"López López, Manuel Carlos",2
"Delgado Mora, Mario",3
"González Rey, Elena",3
"Oliver Pozo, Francisco Javier",3
"Sánchez Navarro, Macarena",3
"Hernández López de Munaín, Cristina",3
"Suñé, Carlos",3
"López Giménez, Juan F.",4
