author_name,leiden_community
"Castanys, Santiago",0
"Pérez Victoria, José María",0
"Navarro Carretero, Miguel",0
"González Pacanowska, Dolores",0
"Ruiz Pérez, Luis Miguel",0
"Vidal Romero, Antonio",0
"Estévez García, Antonio Manuel",0
"Gómez Díaz, Elena",0
"Acosta Herrera, Marialbert",1
"Martín Ibáñez, Javier",1
"Márquez Ortiz, Ana María",1
"Ortiz Fernández, Lourdes",1
"Alcina, Antonio",1
"Matesanz del Barrio, Fuencisla",1
"Zubiaur, Mercedes",1
"Sancho López, Jaime",1
"Delgado Mora, Mario",2
"González Rey, Elena",2
"Oliver Pozo, Francisco Javier",2
"Sánchez Navarro, Macarena",2
"Hernández López de Munaín, Cristina",2
"Suñé, Carlos",2
"Berzal Herranz, Alfredo",3
"Sánchez Luque, Francisco José",3
"Gómez Castilla, Jordi",3
"Morales Sánchez, Juan Carlos",3
"Thomas, María del Carmen",3
"López López, Manuel Carlos",3
"López Giménez, Juan F.",4
