model_name,k,pca_dims,authors_count,noise_count,silhouette_avg,calinski_harabasz_avg,davies_bouldin_avg,norm_silhouette,norm_calinski,norm_davies,combined_score
kmeans,8,5,29,0,0.7411418543317,58.63482171191062,0.3059632544587938,0.995703,0.223612,0.944953,0.913419
agglomerative,9,5,29,0,0.7363967223905052,74.10150188592338,0.3446192225191631,0.986383,0.285672,0.932736,0.910947
gmm,8,5,29,0,0.7383205712515841,57.91758395379402,0.30890310267395393,0.990161,0.220734,0.944024,0.908605
spectral,11,10,29,0,0.7433296656783641,34.911671770469425,0.4024946205578211,1.0,0.128421,0.914445,0.904287
hierarchical,11,10,29,0,0.7432989048237083,34.94394881153402,0.40264303204408075,0.99994,0.128551,0.914398,0.904247
kmeans,9,5,29,0,0.7317882954313625,67.99296351316896,0.26538001643751824,0.977331,0.261162,0.957779,0.903759
dbscan,8,5,29,1,0.7317873309181488,67.61768876516436,0.26782332182146906,0.977329,0.259656,0.957007,0.903529
agglomerative,11,10,29,0,0.7421662123063039,34.652749053425815,0.4016853475265607,0.997715,0.127383,0.914701,0.90238
hierarchical,9,5,29,0,0.7298116935252692,71.49985896787899,0.35327236626046293,0.973449,0.275233,0.930002,0.899282
gmm,9,5,29,0,0.7282689703190267,66.3032735357378,0.2703283101024586,0.970418,0.254382,0.956215,0.897394
gmm,11,10,29,0,0.7361907686658249,33.70306791901117,0.37605014210295545,0.985978,0.123572,0.922803,0.89342
kmeans,11,10,29,0,0.7328500201430754,32.94693871353769,0.3807452946647763,0.979416,0.120538,0.921319,0.887719
agglomerative,10,5,29,0,0.7111178005057065,83.62192386506169,0.4097085142193042,0.936731,0.323873,0.912165,0.872988
hierarchical,10,5,29,0,0.7111073101967358,82.72225482857286,0.40629101628995956,0.93671,0.320263,0.913246,0.872719
gmm,10,5,29,0,0.7008215487843428,102.86764140204792,0.3678147267770794,0.916507,0.401098,0.925406,0.865856
kmeans,10,5,29,0,0.7008355242356941,72.91720737033631,0.3280810618999007,0.916535,0.28092,0.937963,0.855116
spectral,8,5,29,0,0.7040302167872537,56.13635078310899,0.35014442644487703,0.92281,0.213586,0.93099,0.852705
hierarchical,12,10,29,0,0.6982638676158495,39.74673288514742,0.2993197700504605,0.911484,0.147822,0.947053,0.838674
agglomerative,12,10,29,0,0.6949767957379455,39.110500893473215,0.2995028444758153,0.905027,0.145269,0.946995,0.833248
gmm,10,2,29,0,0.6631003692662125,162.97730251567597,0.3904207546861837,0.842417,0.64229,0.918261,0.829989
hierarchical,13,10,29,0,0.6893745288672537,48.021430290641575,0.30615985863978756,0.894023,0.181025,0.944891,0.82781
gmm,8,2,29,0,0.6742908705174032,115.99411574406304,0.4228601117817266,0.864397,0.453768,0.908009,0.827695
kmeans,8,2,29,0,0.6734250524412642,115.53645195486584,0.42353911405685885,0.862696,0.451932,0.907794,0.82613
agglomerative,13,10,29,0,0.6883147055812534,47.518081238692304,0.3040921308651364,0.891942,0.179005,0.945545,0.826008
kmeans,7,5,29,0,0.6859290765983219,48.3712392675596,0.38769904518906484,0.887256,0.182429,0.919121,0.81996
gmm,7,2,29,0,0.675285503760547,75.16041816866267,0.38579292787603153,0.86635,0.289921,0.919724,0.814045
gmm,7,5,29,0,0.6823304547311652,47.50473210630338,0.3938504965022555,0.880188,0.178952,0.917177,0.813763
gmm,12,10,29,0,0.6853621104249976,35.91434748903601,0.4057613472729021,0.886142,0.132445,0.913413,0.8135
kmeans,12,10,29,0,0.6851987666025136,35.364834710383086,0.4064110178484069,0.885822,0.13024,0.913208,0.813002
kmeans,7,2,29,0,0.6744638835221307,75.01957123839142,0.3866411957491221,0.864737,0.289356,0.919456,0.81267
agglomerative,8,5,29,0,0.679760652577008,51.99095010426897,0.40673017786438515,0.87514,0.196953,0.913107,0.811118
agglomerative,7,5,29,0,0.676737093105189,41.71385563208707,0.4048949198828712,0.869202,0.155716,0.913687,0.802301
spectral,10,10,29,0,0.6858384602318836,18.52127160080685,0.6105269842080319,0.887078,0.062654,0.848698,0.800798
hierarchical,7,2,29,0,0.6629547986785183,91.0547240573005,0.44551518602037665,0.842131,0.353698,0.900849,0.799159
